timestamp,CPU_temp_C
2026-03-15T16:05:49.780555,46.0
2026-03-15T16:05:50.787761,46.0
2026-03-15T16:05:51.796349,45.0
2026-03-15T16:05:52.804658,45.0
2026-03-15T16:05:53.813284,45.0
2026-03-15T16:05:54.820796,46.0
2026-03-15T16:05:55.829272,46.0
2026-03-15T16:05:56.837577,44.0
2026-03-15T16:05:57.845892,44.0
2026-03-15T16:05:58.854191,45.0
2026-03-15T16:05:59.862206,45.0
2026-03-15T16:06:00.870145,44.0
2026-03-15T16:06:01.878702,45.0
2026-03-15T16:06:02.886808,45.0
2026-03-15T16:06:03.894468,45.0
2026-03-15T16:06:04.902891,45.0
2026-03-15T16:06:05.911060,45.0
2026-03-15T16:06:06.918232,45.0
2026-03-15T16:06:07.926285,46.0
2026-03-15T16:06:08.934965,45.0
2026-03-15T16:06:09.941818,45.0
2026-03-15T16:06:10.965026,47.0
2026-03-15T16:06:11.993026,47.0
2026-03-15T16:06:13.021023,49.0
2026-03-15T16:06:14.045042,48.0
2026-03-15T16:06:15.072999,49.0
2026-03-15T16:06:16.101060,49.0
2026-03-15T16:06:17.129007,49.0
2026-03-15T16:06:18.152985,49.0
2026-03-15T16:06:19.177074,50.0
2026-03-15T16:06:20.205020,50.0
2026-03-15T16:06:21.233096,50.0
2026-03-15T16:06:22.256735,50.0
2026-03-15T16:06:23.272679,52.0
2026-03-15T16:06:24.288666,51.0
2026-03-15T16:06:25.304670,50.0
2026-03-15T16:06:26.320847,52.0
2026-03-15T16:06:27.336650,51.0
2026-03-15T16:06:28.352641,51.0
2026-03-15T16:06:29.368761,51.0
2026-03-15T16:06:30.384742,52.0
2026-03-15T16:06:31.400688,52.0
2026-03-15T16:06:32.416750,52.0
2026-03-15T16:06:33.432750,53.0
2026-03-15T16:06:34.448626,52.0
2026-03-15T16:06:35.464636,53.0
2026-03-15T16:06:36.480635,52.0
2026-03-15T16:06:37.496627,53.0
2026-03-15T16:06:38.512744,53.0
2026-03-15T16:06:39.528608,54.0
2026-03-15T16:06:40.544680,54.0
2026-03-15T16:06:41.560682,53.0
2026-03-15T16:06:42.576665,54.0
2026-03-15T16:06:43.592683,53.0
2026-03-15T16:06:44.608657,54.0
2026-03-15T16:06:45.624754,54.0
2026-03-15T16:06:46.640699,54.0
2026-03-15T16:06:47.656701,55.0
2026-03-15T16:06:48.672734,54.0
2026-03-15T16:06:49.688703,55.0
2026-03-15T16:06:50.704702,55.0
2026-03-15T16:06:51.714110,53.0
2026-03-15T16:06:52.721663,52.0
2026-03-15T16:06:53.729643,52.0
2026-03-15T16:06:54.737611,52.0
2026-03-15T16:06:55.745526,51.0
2026-03-15T16:06:56.753751,52.0
2026-03-15T16:06:57.762051,52.0
2026-03-15T16:06:58.770348,50.0
2026-03-15T16:06:59.778045,50.0
2026-03-15T16:07:00.786324,51.0
2026-03-15T16:07:01.794441,51.0
2026-03-15T16:07:02.802981,50.0
2026-03-15T16:07:03.810818,50.0
2026-03-15T16:07:04.819011,50.0
2026-03-15T16:07:05.825993,51.0
2026-03-15T16:07:06.833728,50.0
2026-03-15T16:07:07.842094,50.0
2026-03-15T16:07:08.850785,50.0
2026-03-15T16:07:09.859666,50.0
2026-03-15T16:07:10.867868,50.0
