loop_bandwidth_limit	mean_goodput
250	219.04308647130438
500	420.40499121071724
750	603.2767406224458
1000	780.134562983043
1250	932.3493928957836
1500	1053.911542023977
1750	1120.249445263771
2000	1140.0328474657506
