loop_bandwidth_limit	mean_goodput
250	224.7470297978458
500	441.6153962242111
750	647.6746321716917
1000	841.5965575924039
1250	1021.8776405478114
1500	1186.1141474049584
1750	1221.7659355502972
2000	1219.4644448322335
