loop_bandwidth_limit	mean_goodput
250	232.1992527362946
500	448.3961115664926
750	658.948149187191
1000	845.7323098035937
1250	958.2751133115904
1500	960.605565156165
1750	982.5449950901578
2000	993.3319356949077
