timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312194536521018,598,219,125,0
20260312194537520053,601,219,125,0
20260312194538522550,608,219,127,0
20260312194539572912,601,219,126,0
20260312194540572067,601,219,125,0
20260312194541595750,601,219,126,0
20260312194542527640,601,219,126,0
20260312194543528515,601,219,126,0
20260312194544528590,612,219,128,0
20260312194545529825,604,219,126,0
20260312194546533099,602,219,126,1
20260312194547529452,604,219,126,1
20260312194548535902,604,219,126,1
20260312194549534590,604,219,126,1
20260312194550535654,611,219,128,1
20260312194551537032,604,219,126,1
20260312194552537625,602,219,126,1
20260312194553539309,601,219,126,1
20260312194554541870,601,219,125,1
20260312194555541681,601,219,126,1
20260312194556542862,617,219,129,1
20260312194557539217,621,219,130,1
20260312194558547814,625,219,131,1
