timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312193950139626,541,219,112,1
20260312193951140541,541,219,112,1
20260312193952139746,605,219,126,0
20260312193953141658,605,218,126,0
20260312193954141874,605,219,127,0
20260312193955144222,622,219,130,0
20260312193956144727,622,219,130,0
20260312193957146193,632,218,133,0
20260312193958152061,623,219,130,0
20260312193959147424,623,219,131,0
20260312194000148019,623,219,130,0
20260312194001146956,625,219,131,0
20260312194002149748,625,219,131,0
20260312194003151901,633,219,133,0
