timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312200306405545,620,218,130,0
20260312200307406183,578,219,120,0
20260312200308408575,601,219,125,0
20260312200309409810,608,219,127,0
20260312200310409955,603,218,126,0
20260312200311411083,601,218,125,0
20260312200312411574,602,218,126,0
20260312200313414022,593,218,124,0
20260312200314415499,593,218,124,0
20260312200315416418,602,218,126,0
20260312200316602230,597,218,125,0
20260312200317701422,596,218,124,0
20260312200318610382,595,218,124,0
20260312200319620342,595,219,124,0
20260312200320729928,596,218,124,0
20260312200321641971,604,218,126,0
20260312200322608035,599,218,125,0
20260312200323607372,597,218,125,0
20260312200324606826,596,219,125,0
20260312200325612833,596,219,125,0
20260312200326614226,604,219,126,0
