timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312200722789378,540,219,112,1
20260312200723791518,596,218,124,0
20260312200724791884,615,218,129,0
20260312200726029341,634,219,133,0
20260312200727083115,634,218,133,0
20260312200728278262,635,219,133,0
20260312200729278049,631,219,132,0
20260312200730277244,632,219,133,0
20260312200731278050,630,219,132,0
20260312200732278889,632,219,133,0
20260312200733281538,643,219,135,0
20260312200734282047,640,219,134,0
20260312200735281752,633,219,133,0
