timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312195528507669,537,220,112,0
20260312195529510971,591,220,124,0
20260312195530509376,605,220,127,0
20260312195531511328,605,220,127,0
20260312195532512170,605,220,127,0
20260312195533512805,605,220,127,0
20260312195534514138,597,220,125,0
20260312195535511550,596,220,125,0
20260312195536511271,594,219,125,0
20260312195537511367,594,220,125,0
20260312195538513752,593,220,125,0
20260312195539513340,603,220,127,0
20260312195540514399,590,220,124,0
20260312195541514980,589,220,124,0
20260312195542518155,589,220,123,0
20260312195543546023,589,220,124,0
20260312195544790991,590,219,124,0
20260312195545774609,599,219,126,0
20260312195546776229,591,219,124,0
20260312195547777430,595,220,125,0
20260312195548781398,608,219,128,0
