timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312201431478435,537,220,112,1
20260312201432479499,568,220,118,0
20260312201433479517,614,220,129,0
20260312201434477285,608,220,128,0
20260312201435524135,607,220,128,0
20260312201436525119,607,220,127,0
20260312201437522884,607,220,128,0
20260312201438523288,619,220,130,0
20260312201439523486,627,220,132,0
20260312201440523973,621,220,131,0
20260312201441523142,619,220,130,0
20260312201442524003,619,220,130,0
20260312201443525251,624,220,131,0
20260312201444525173,620,220,130,0
