timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312203805363153,536,221,112,1
20260312203806364438,577,220,121,0
20260312203807363541,606,220,127,0
20260312203808365591,606,220,128,0
20260312203809366449,613,220,129,0
20260312203810367693,611,220,129,0
20260312203811370305,606,220,128,0
20260312203812370340,606,220,128,0
20260312203813370618,600,220,126,0
20260312203814373374,618,220,130,0
20260312203815373262,626,220,132,0
20260312203816375195,623,220,131,0
20260312203817374773,623,220,131,0
20260312203818376402,621,220,131,0
