timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312194612238027,539,219,112,1
20260312194613250723,539,219,112,1
20260312194614237648,606,219,127,0
20260312194615238963,613,218,128,0
20260312194616240242,605,219,126,0
20260312194617239695,605,219,127,0
20260312194618249827,605,219,127,0
20260312194619252447,605,219,127,0
20260312194620242474,604,219,126,0
20260312194621242039,612,219,128,0
20260312194622245224,604,219,126,0
20260312194623418817,608,219,127,0
20260312194624463806,625,219,131,0
20260312194625353731,625,219,131,0
