timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312195856488924,537,220,112,0
20260312195857489330,599,220,126,0
20260312195858491262,597,220,125,0
20260312195859491314,598,220,125,0
20260312195900491872,597,220,125,0
20260312195901492854,599,220,126,0
20260312195902494570,598,220,125,0
20260312195903494536,610,219,128,0
20260312195904601673,603,219,126,0
20260312195905505567,603,219,126,0
20260312195906784842,603,219,126,0
20260312195907783552,603,219,126,0
20260312195908784468,600,219,126,0
20260312195909785613,607,219,127,0
20260312195910793897,600,219,126,0
20260312195911806170,603,219,126,0
20260312195912798391,603,219,126,0
20260312195913801650,603,219,126,0
20260312195914802032,603,219,126,0
20260312195915800183,610,219,128,0
20260312195916800510,604,219,126,0
20260312195917801443,608,219,127,0
20260312195918803806,617,219,129,0
