timestamp,CPU_temp_C
2026-03-15T16:05:51.239558,32.0
2026-03-15T16:05:52.254386,32.0
2026-03-15T16:05:53.268555,32.0
2026-03-15T16:05:54.282872,31.0
2026-03-15T16:05:55.297276,31.0
2026-03-15T16:05:56.313108,31.0
2026-03-15T16:05:57.327485,31.0
2026-03-15T16:05:58.333954,31.0
2026-03-15T16:05:59.346126,31.0
2026-03-15T16:06:00.363631,32.0
2026-03-15T16:06:01.377988,31.0
2026-03-15T16:06:02.392933,31.0
2026-03-15T16:06:03.407419,31.0
2026-03-15T16:06:04.422728,31.0
2026-03-15T16:06:05.437189,31.0
2026-03-15T16:06:06.451391,31.0
2026-03-15T16:06:07.465396,31.0
2026-03-15T16:06:08.481438,31.0
2026-03-15T16:06:09.495480,31.0
2026-03-15T16:06:10.509470,31.0
2026-03-15T16:06:11.526614,31.0
2026-03-15T16:06:12.546658,32.0
2026-03-15T16:06:13.562650,32.0
2026-03-15T16:06:14.578637,33.0
2026-03-15T16:06:15.595444,33.0
2026-03-15T16:06:16.610630,33.0
2026-03-15T16:06:17.626641,34.0
2026-03-15T16:06:18.642637,34.0
2026-03-15T16:06:19.658634,34.0
2026-03-15T16:06:20.675442,34.0
2026-03-15T16:06:21.690652,34.0
2026-03-15T16:06:22.706633,35.0
2026-03-15T16:06:23.722635,34.0
2026-03-15T16:06:24.738642,35.0
2026-03-15T16:06:25.754632,35.0
2026-03-15T16:06:26.771435,34.0
2026-03-15T16:06:27.786634,35.0
2026-03-15T16:06:28.802636,34.0
2026-03-15T16:06:29.819452,35.0
2026-03-15T16:06:30.835449,35.0
2026-03-15T16:06:31.850631,35.0
2026-03-15T16:06:32.866644,35.0
2026-03-15T16:06:33.883426,35.0
2026-03-15T16:06:34.899440,34.0
2026-03-15T16:06:35.914645,35.0
2026-03-15T16:06:36.930625,36.0
2026-03-15T16:06:37.946633,35.0
2026-03-15T16:06:38.962654,35.0
2026-03-15T16:06:39.978638,36.0
2026-03-15T16:06:40.994634,36.0
2026-03-15T16:06:42.011231,37.0
2026-03-15T16:06:43.026629,36.0
2026-03-15T16:06:44.043427,36.0
2026-03-15T16:06:45.059428,37.0
2026-03-15T16:06:46.074641,36.0
2026-03-15T16:06:47.091418,35.0
2026-03-15T16:06:48.106640,37.0
2026-03-15T16:06:49.123434,36.0
2026-03-15T16:06:50.138630,36.0
2026-03-15T16:06:51.158439,36.0
2026-03-15T16:06:52.165873,37.0
2026-03-15T16:06:53.177638,35.0
2026-03-15T16:06:54.191251,34.0
2026-03-15T16:06:55.205822,34.0
2026-03-15T16:06:56.220437,33.0
2026-03-15T16:06:57.235270,34.0
2026-03-15T16:06:58.249808,34.0
2026-03-15T16:06:59.265178,33.0
2026-03-15T16:07:00.280603,33.0
2026-03-15T16:07:01.295007,34.0
2026-03-15T16:07:02.309605,33.0
2026-03-15T16:07:03.324328,33.0
2026-03-15T16:07:04.340122,33.0
2026-03-15T16:07:05.355624,33.0
2026-03-15T16:07:06.370592,33.0
2026-03-15T16:07:07.385685,33.0
2026-03-15T16:07:08.401666,33.0
2026-03-15T16:07:09.417273,33.0
2026-03-15T16:07:10.431913,33.0
2026-03-15T16:07:11.447287,33.0
2026-03-15T16:07:12.464809,33.0
