timestamp,CPU_temp_C
2026-03-15T16:05:49.893965,35.0
2026-03-15T16:05:50.902431,33.0
2026-03-15T16:05:51.910088,33.0
2026-03-15T16:05:52.917824,33.0
2026-03-15T16:05:53.926145,33.0
2026-03-15T16:05:54.934208,33.0
2026-03-15T16:05:55.943027,33.0
2026-03-15T16:05:56.951437,33.0
2026-03-15T16:05:57.960554,33.0
2026-03-15T16:05:58.968524,33.0
2026-03-15T16:05:59.977799,33.0
2026-03-15T16:06:00.986624,33.0
2026-03-15T16:06:01.995211,33.0
2026-03-15T16:06:03.002399,33.0
2026-03-15T16:06:04.011106,33.0
2026-03-15T16:06:05.019595,33.0
2026-03-15T16:06:06.027767,33.0
2026-03-15T16:06:07.035944,33.0
2026-03-15T16:06:08.043412,33.0
2026-03-15T16:06:09.050447,33.0
2026-03-15T16:06:10.058682,33.0
2026-03-15T16:06:11.080998,37.0
2026-03-15T16:06:12.101427,38.0
2026-03-15T16:06:13.124913,38.0
2026-03-15T16:06:14.141013,38.0
2026-03-15T16:06:15.165382,39.0
2026-03-15T16:06:16.189520,39.0
2026-03-15T16:06:17.213067,39.0
2026-03-15T16:06:18.229431,39.0
2026-03-15T16:06:19.245146,39.0
2026-03-15T16:06:20.261417,39.0
2026-03-15T16:06:21.281483,40.0
2026-03-15T16:06:22.309287,40.0
2026-03-15T16:06:23.333514,40.0
2026-03-15T16:06:24.361362,40.0
2026-03-15T16:06:25.377019,40.0
2026-03-15T16:06:26.400686,40.0
2026-03-15T16:06:27.421434,40.0
2026-03-15T16:06:28.445375,40.0
2026-03-15T16:06:29.465432,41.0
2026-03-15T16:06:30.493499,41.0
2026-03-15T16:06:31.521388,41.0
2026-03-15T16:06:32.548899,41.0
2026-03-15T16:06:33.565071,41.0
2026-03-15T16:06:34.581057,41.0
2026-03-15T16:06:35.601416,42.0
2026-03-15T16:06:36.625383,41.0
2026-03-15T16:06:37.641343,41.0
2026-03-15T16:06:38.657035,41.0
2026-03-15T16:06:39.677521,42.0
2026-03-15T16:06:40.705449,42.0
2026-03-15T16:06:41.733719,42.0
2026-03-15T16:06:42.758411,43.0
2026-03-15T16:06:43.788609,43.0
2026-03-15T16:06:44.805353,43.0
2026-03-15T16:06:45.828591,43.0
2026-03-15T16:06:46.845341,43.0
2026-03-15T16:06:47.869443,43.0
2026-03-15T16:06:48.896929,43.0
2026-03-15T16:06:49.921419,43.0
2026-03-15T16:06:50.936889,43.0
2026-03-15T16:06:51.946232,40.0
2026-03-15T16:06:52.954527,39.0
2026-03-15T16:06:53.962290,39.0
2026-03-15T16:06:54.970412,38.0
2026-03-15T16:06:55.980139,38.0
2026-03-15T16:06:56.988548,38.0
2026-03-15T16:06:57.996641,37.0
2026-03-15T16:06:59.004648,38.0
2026-03-15T16:07:00.012511,38.0
2026-03-15T16:07:01.020566,37.0
2026-03-15T16:07:02.028281,37.0
2026-03-15T16:07:03.036371,37.0
2026-03-15T16:07:04.044316,37.0
2026-03-15T16:07:05.052233,37.0
2026-03-15T16:07:06.060553,37.0
2026-03-15T16:07:07.068456,37.0
2026-03-15T16:07:08.076830,37.0
2026-03-15T16:07:09.084603,37.0
2026-03-15T16:07:10.092540,37.0
2026-03-15T16:07:11.100394,37.0
