timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312202329808237,400,220,80,0
20260312202330843743,404,220,81,0
20260312202332037962,394,220,79,0
20260312202332812314,466,220,95,0
20260312202333806776,466,220,95,0
20260312202334812916,480,220,99,0
20260312202335812633,480,220,99,0
20260312202336814540,480,220,99,0
20260312202337814055,480,220,99,0
20260312202338816393,482,220,99,0
20260312202339822847,482,220,99,0
20260312202340819395,483,220,99,0
20260312202341820540,448,220,91,0
20260312202342821016,395,220,79,0
