timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312202720098074,476,220,98,1
20260312202721401344,423,220,84,0
20260312202722666607,443,220,90,0
20260312202723670533,398,221,79,0
20260312202724675108,395,221,79,0
20260312202725820455,470,221,97,0
20260312202726929455,468,221,96,0
20260312202727672889,470,221,97,0
20260312202728676976,470,221,97,0
20260312202729675953,470,221,97,0
20260312202730751851,470,221,97,0
20260312202731829893,470,221,97,0
20260312202733099520,470,221,97,0
20260312202734099101,422,221,85,0
20260312202735096705,475,221,98,0
