timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312194918667490,483,219,99,0
20260312194919673862,510,219,105,0
20260312194920671425,401,219,80,0
20260312194921662644,476,219,97,0
20260312194922668357,475,219,97,0
20260312194923670795,474,219,97,0
20260312194924671325,474,219,97,0
20260312194925672935,471,219,96,0
20260312194926672339,473,219,97,0
20260312194927676662,473,219,97,0
20260312194928672585,473,219,97,0
20260312194929696238,474,219,97,0
20260312194930741620,475,219,97,0
20260312194931753543,448,219,90,0
