timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312193912630280,492,218,100,0
20260312193913629911,414,219,83,0
20260312193914633891,490,218,100,0
20260312193915638765,485,218,99,0
20260312193916651366,482,218,99,0
20260312193917651205,482,218,99,0
20260312193918655589,483,218,99,0
20260312193919634126,482,218,98,0
20260312193920635652,481,218,98,0
20260312193921637652,482,218,98,0
20260312193922636358,481,218,98,0
20260312193923642558,482,218,99,0
20260312193924637666,483,218,99,0
20260312193925636569,482,218,98,0
20260312193926641508,481,218,98,0
20260312193927640899,483,219,99,0
20260312193928639637,481,219,98,0
20260312193929662101,482,218,99,0
20260312193930643601,483,218,99,0
20260312193931642121,482,218,99,0
20260312193932642172,482,218,99,0
20260312193933644193,482,218,99,0
20260312193934644218,483,218,99,0
20260312193935670886,447,218,90,0
20260312193936696329,414,218,83,0
