timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312194226238543,494,219,101,0
20260312194227246530,494,219,101,0
20260312194228269187,461,219,92,0
20260312194229242894,461,219,92,0
20260312194230244046,465,218,94,0
20260312194231242308,485,218,99,0
20260312194232247177,485,218,99,0
20260312194233246754,485,218,99,0
20260312194234248179,480,218,98,0
20260312194235247680,476,218,97,0
20260312194236247705,477,218,97,0
20260312194237250905,476,218,97,0
20260312194238250704,476,218,97,0
20260312194239255189,476,218,97,0
20260312194240289175,478,218,97,0
20260312194241255175,478,218,97,0
20260312194242257620,460,218,93,0
20260312194243258080,463,218,94,0
20260312194244258936,464,218,94,0
20260312194245259342,459,218,93,0
20260312194246257627,454,218,92,0
20260312194247256891,455,218,92,0
20260312194248260398,456,218,92,0
