timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312195934452764,485,219,100,0
20260312195935453632,481,219,98,0
20260312195936453484,401,219,80,0
20260312195937454328,460,219,93,0
20260312195938458473,483,219,99,0
20260312195939459555,483,219,99,0
20260312195940462631,483,219,99,0
20260312195941459577,481,219,99,0
20260312195942460966,483,219,99,0
20260312195943462522,483,219,99,0
20260312195944463665,484,219,99,0
20260312195945464253,483,219,99,0
20260312195946527126,482,219,99,0
20260312195947464022,480,219,98,0
20260312195948783690,395,219,79,0
20260312195949785823,471,219,96,0
