timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312203858398533,510,221,106,0
20260312203859400848,422,221,85,0
20260312203900397256,399,221,80,0
20260312203901407747,462,220,95,0
20260312203902403653,480,220,99,0
20260312203903406730,441,221,89,0
20260312203904408080,480,220,99,0
20260312203905408617,408,221,82,0
20260312203906408882,480,221,99,0
20260312203907411611,450,221,91,0
20260312203908412844,408,221,82,0
20260312203909413680,398,221,79,0
20260312203910416395,433,221,87,0
