timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312203724786003,477,220,98,0
20260312203725788170,477,220,98,0
20260312203726785996,401,220,80,0
20260312203727792259,401,220,80,0
20260312203728791940,473,220,97,0
20260312203729792402,472,220,97,0
20260312203730795836,468,220,96,0
20260312203731797142,467,220,95,0
20260312203732797644,467,220,96,0
20260312203733801180,467,220,95,0
20260312203734801707,465,220,95,0
20260312203735802756,466,220,95,0
20260312203736805897,465,220,95,0
20260312203737806660,464,220,95,0
20260312203738809093,464,220,95,0
20260312203739811347,463,220,95,0
20260312203740813802,464,220,95,0
20260312203741813208,465,220,95,0
20260312203742815278,465,220,95,0
20260312203743818223,465,220,95,0
20260312203744819540,465,220,95,0
20260312203745820732,468,220,96,0
20260312203746821675,464,220,95,0
20260312203747821048,464,220,95,0
20260312203748822459,396,220,79,0
