timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312203803331874,510,220,105,0
20260312203804333672,430,220,86,0
20260312203805332021,400,221,80,0
20260312203806336480,446,220,90,0
20260312203807338767,479,220,98,0
20260312203808340641,480,220,99,0
20260312203809339842,481,220,99,0
20260312203810343037,481,220,99,0
20260312203811344475,481,220,99,0
20260312203812345626,479,220,98,0
20260312203813347408,481,220,99,0
20260312203814347512,478,220,98,0
20260312203815347655,483,220,99,0
20260312203816350194,482,220,99,0
20260312203817349953,395,220,79,0
20260312203818351944,474,220,97,0
