timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312200748491132,481,219,98,0
20260312200749570487,520,219,108,0
20260312200750498063,414,220,83,0
20260312200751495461,414,220,83,0
20260312200752492467,483,219,99,0
20260312200753491621,481,219,99,0
20260312200754492629,482,219,99,0
20260312200755492906,481,219,99,0
20260312200756492764,486,219,100,0
20260312200757493667,482,219,99,0
20260312200758496277,484,219,99,0
20260312200759494929,432,219,87,0
20260312200800530901,396,219,79,0
20260312200801512211,498,219,102,0
