timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312194013186448,495,219,102,0
20260312194014186797,495,219,102,0
20260312194015185340,453,219,91,0
20260312194016189994,453,219,91,0
20260312194017186317,498,219,102,0
20260312194018193140,498,219,102,0
20260312194019188453,499,219,103,0
20260312194020191034,496,219,102,0
20260312194021190449,495,219,102,0
20260312194022191383,500,218,103,0
20260312194023201114,500,218,102,0
20260312194024193785,413,218,82,0
20260312194025246349,413,218,82,0
