timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312195854557813,477,220,98,0
20260312195855536594,453,220,92,0
20260312195856533122,397,220,79,0
20260312195857535860,470,220,96,0
20260312195858535604,474,220,97,0
20260312195859535143,466,220,95,0
20260312195900535428,464,220,95,0
20260312195901536778,466,220,95,0
20260312195902537325,466,220,95,0
20260312195903537932,467,219,95,0
20260312195904623534,467,219,95,0
20260312195905543237,468,219,96,0
20260312195906786008,467,219,96,0
20260312195907785075,468,219,95,0
20260312195908785535,466,219,95,0
20260312195909784670,466,219,95,0
20260312195910799313,465,219,95,0
20260312195911806390,467,219,95,0
20260312195912797152,468,219,95,0
20260312195913800721,468,219,96,0
20260312195914801078,469,219,96,0
20260312195915800011,467,219,95,0
20260312195916800386,466,219,95,0
20260312195917801251,398,219,79,0
20260312195918803447,395,219,79,0
