timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312193319951020,503,218,103,145
20260312193320967734,391,219,77,0
20260312193321962426,463,219,94,0
20260312193322965076,461,219,93,0
20260312193323969962,454,219,92,0
20260312193324967548,453,218,92,0
20260312193325966259,454,219,92,0
20260312193326970268,453,219,92,0
20260312193327968571,453,218,92,0
20260312193328971884,453,219,92,0
20260312193329969361,452,218,92,0
20260312193330969075,452,218,92,0
20260312193331970074,452,219,92,0
20260312193332969455,454,219,92,0
20260312193333974088,454,219,92,0
20260312193334972422,454,219,92,0
20260312193335973050,453,219,92,0
20260312193336971764,453,219,92,0
20260312193337991094,453,219,92,0
20260312193338972050,452,219,92,0
20260312193339973831,452,219,92,0
20260312193340976474,453,219,92,0
20260312193341974326,454,219,92,0
20260312193342973410,385,219,76,0
20260312193343984802,463,219,94,0
