timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312200720758294,484,218,99,0
20260312200721763307,489,218,99,0
20260312200722761728,402,219,80,0
20260312200723765083,479,218,98,0
20260312200724766075,485,218,99,0
20260312200726030195,483,219,99,0
20260312200727082919,483,219,99,0
20260312200728276874,482,219,99,0
20260312200729276531,485,219,99,0
20260312200730278109,484,219,99,0
20260312200731279102,484,219,99,0
20260312200732279947,484,219,99,0
20260312200733280420,484,219,99,0
20260312200734280940,398,219,79,0
20260312200735280536,423,219,85,0
