timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312202215911784,478,220,98,0
20260312202217261813,401,220,80,0
20260312202218267742,458,220,93,0
20260312202219540806,396,220,79,0
20260312202220552910,474,219,97,0
20260312202221766586,467,219,95,0
20260312202222768854,466,219,95,0
20260312202223768750,466,219,95,0
20260312202224770874,465,219,95,0
20260312202225773325,465,219,95,0
20260312202226774550,468,219,96,0
20260312202227773062,467,219,95,0
20260312202228775068,467,219,95,0
20260312202229776340,467,219,95,0
20260312202230807339,467,219,95,0
20260312202231823103,466,219,95,0
20260312202232776799,467,219,95,0
20260312202233780318,467,219,95,0
20260312202234983774,468,219,96,0
20260312202235885485,468,219,96,0
20260312202237023935,467,219,95,0
20260312202238076709,466,219,95,0
20260312202239152386,450,219,91,0
20260312202240408075,396,219,79,0
20260312202241407194,395,219,79,0
