timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312193948191137,494,219,101,0
20260312193949191742,494,219,101,0
20260312193950192823,462,219,93,0
20260312193951194933,462,219,93,0
20260312193952195181,467,219,94,0
20260312193953196020,495,219,101,0
20260312193954195581,495,219,101,0
20260312193955197062,495,219,101,0
20260312193956231948,498,219,102,0
20260312193957218297,496,219,102,0
20260312193958239269,499,218,103,0
20260312193959212908,499,219,103,0
20260312194000217083,498,219,102,0
20260312194001220387,499,219,102,0
20260312194002214821,462,218,94,0
20260312194003234822,413,219,82,0
