loop_bandwidth_limit	mean_goodput
250	212.24443736419252
500	391.80185552936575
750	532.9465250622474
1000	638.6418483819473
1250	720.9382903582843
1500	709.2413808386507
1750	795.1064747657286
2000	813.7259803242786
