loop_bandwidth_limit	mean_goodput
250	222.13854870015794
500	411.36042919431975
750	576.4600734595853
1000	636.0114597984951
1250	665.895416530211
1500	675.93886811015
1750	699.0289032849124
2000	704.3438754528127
